country_code,latest_gdp,avg_shock_growth,speed_2008,quality_2008,speed_2020,quality_2020,avg_employment,avg_dependency,avg_inflation,cluster,cluster_name
KEN,5845.201,0.2071383550521526,2.0,104.6315381866564,1.0,110.05687400560014,69.70354285714285,86.61995585539599,10.202173741124335,0.0,Resilient Emerging
KGZ,7048.9897,0.8660777560899195,1.0,111.71687272263028,2.0,108.01914119878404,60.92362857142858,63.7627506808736,44.081224638060185,0.0,Resilient Emerging
KHM,7008.889,1.2297415061726187,1.0,118.5547846497635,2.0,103.82092408222508,80.59128571428572,71.08856229477068,19.10337455961581,0.0,Resilient Emerging
KIR,3257.1362,-0.7970137383090075,5.0,94.04912819958832,1.0,107.2792423912324,,70.8585254591492,2.5776185465664385,,
KNA,30656.441,-1.779382068701865,1.0,108.78679402461506,,97.15787790459396,,51.86477072634199,2.356993625478822,,
KOR,55070.938,1.609557562161862,1.0,112.30616200747214,1.0,108.51255914061508,59.594628571428565,39.27509859349147,3.42193585820119,0.0,Resilient Emerging
KWT,46137.47,-4.062437585450671,,81.59131276395173,,92.98715888054736,67.78271428571429,39.601170823947825,3.1116543004645028,,
LAO,8600.324,3.0447020912532348,1.0,128.0776985268173,1.0,103.6764196884936,60.6914,73.43435365168277,13.967284368750345,0.0,Resilient Emerging
LBN,11330.269,-2.84040751520721,1.0,124.47095239400004,,72.3536590988537,40.98070588235294,56.484904001617174,29.113690208132738,,
LBR,1646.0586,0.686381257195845,1.0,112.58234124430892,2.0,102.6118779265914,75.03197142857144,84.63505036361823,7.893400001113756,0.0,Resilient Emerging
LBY,12583.834,-3.086546909369762,,47.90792637163873,,87.0225809844547,38.29748571428571,57.224361933598765,5.544433090380868,,
LCA,24252.469,-3.080491589977827,1.0,104.23215035378112,2.0,102.92676902811507,53.95285714285714,53.72846771387361,2.4538613231137676,0.0,Resilient Emerging
LKA,13752.837,1.5289905674646251,1.0,125.6000947220715,,88.98370507856427,49.87262857142857,51.57708401968401,9.609471591506889,,
LSO,2640.2854,-1.323854642072117,1.0,111.29430594409692,,93.60120902046036,56.1829,74.0993191759087,7.500000503974996,,
LTU,47165.367,-0.9259567845924437,4.0,99.55729799825151,1.0,107.19279108113162,53.99485714285714,50.86875571200748,59.96031727816251,2.0,Struggling Developed
LUX,128475.28,-0.9791210656928366,,93.65969951824358,1.0,97.98392537940362,53.534299999999995,46.39629556585086,2.186970303314073,,
LVA,37611.67,-2.9880310645072568,7.0,86.01467876139182,1.0,105.87797244363138,52.72255714285715,51.358817564989074,36.1566834525461,2.0,Struggling Developed
MAC,111693.5,-7.581752850510082,1.0,151.03603589592657,,78.54038574671746,64.4891142857143,35.72663265762554,2.137705391764627,,
MAR,9162.747,1.3789149685527997,1.0,113.34024097518918,3.0,101.67852470114651,43.59431428571428,58.276101084573384,2.605757578161129,3.0,Resilient Low-Income
MDA,16376.611,2.6291691775842283,1.0,115.38679324762045,1.0,109.36472898331468,60.584671428571426,48.64461689997858,77.94558261711208,0.0,Resilient Emerging
MDG,1657.0497,-2.6429565119572143,,93.23948890332368,,95.41110466694168,82.70308571428572,87.23107028386615,10.965896709875208,,
MDV,23034.41,-1.8506342997952565,3.0,100.81317315627778,3.0,102.18501043810386,52.3311,59.96347340442015,4.855237618200803,3.0,Resilient Low-Income
MEX,22039.629,-2.9837186276637753,7.0,96.9450206067878,3.0,100.98166316857034,57.67062857142857,59.72864590096181,9.22965995841391,3.0,Resilient Low-Income
MHL,7209.2666,0.44622629672608194,2.0,100.86924230292016,1.0,106.19101191887552,,77.19165680582134,2.6174285946301055,,
MKD,24203.285,2.0774415772772477,1.0,113.77799776125724,1.0,107.75645214826592,38.333371428571425,48.720452312272464,79.38573091406415,0.0,Resilient Emerging
MLI,2916.1853,-0.43761815967329754,1.0,104.26873857040708,4.0,98.08847325719788,68.48662857142858,100.03029030543007,2.7600138357027872,3.0,Resilient Low-Income
MLT,62700.496,2.200358370641595,1.0,107.88739649132675,1.0,113.16120573489702,50.245357142857145,47.27229810740747,2.4908241661308326,0.0,Resilient Emerging
MMR,5276.2944,-0.6832443252504934,1.0,137.4055150430724,,81.73315542658993,63.93812857142857,54.25018362027515,17.15367717568534,,
MNE,28105.709,-0.2832772978369924,1.0,106.03188321575516,2.0,110.81259028036315,39.76546428571429,50.5107472348433,5.664765146620613,3.0,Resilient Low-Income
MNG,16842.65,-0.5391519423102398,1.0,125.2563217889006,3.0,102.73685213115368,56.104885714285714,59.26454425134567,31.645152425235047,3.0,Resilient Low-Income
MOZ,1500.3143,0.6957695368283501,1.0,116.47334182733545,,98.91336191049469,79.38554285714287,92.6422667350196,15.762261936269123,,
MRT,6482.69,-2.873596958523711,9.0,94.17667982174189,3.0,101.85427943193888,39.56102857142857,90.23503879852578,5.248176913210295,3.0,Resilient Low-Income
MUS,28011.158,-0.7807991684582876,1.0,117.07411290930844,3.0,102.25367614948956,54.09547142857143,43.48058853559372,5.541859596457471,3.0,Resilient Low-Income
MWI,1634.2466,2.4458330412625324,1.0,116.30067511830671,1.0,97.74841826185836,70.64811428571429,94.64082573958808,19.14900386568889,0.0,Resilient Emerging
MYS,34116.23,-1.3439581967015612,2.0,108.11785814198711,2.0,104.9748713343566,59.469357142857135,54.17024528584478,2.5555824517046637,0.0,Resilient Emerging
NAM,10281.336,-2.5235378662875476,1.0,107.90212590924835,,93.75184552733876,44.84274285714286,74.1083656554675,7.5611334801941945,,
NER,1803.4369,0.09627845510236083,1.0,105.21677020036664,2.0,104.77025429090595,76.7275,101.3660838151854,3.1227030386747123,0.0,Resilient Emerging
NGA,7994.216,-0.10769333096740394,1.0,117.32668781594244,,93.80571999741204,78.78672857142857,88.46859694177576,18.683776998223877,,
NIC,7661.602,0.7462292465292868,2.0,104.89787020350832,1.0,110.95130951930248,58.443000000000005,69.89890407119242,96.95863547557708,0.0,Resilient Emerging
NLD,70498.88,-0.2794969620243559,7.0,99.5471682681694,1.0,103.46522402699568,63.698242857142866,49.528367301307505,2.378346815900807,2.0,Struggling Developed
NOR,91105.25,-0.6087769241130027,9.0,95.4608213134812,1.0,102.68987217319253,63.45757142857143,53.22182428335346,2.4456728326058927,2.0,Struggling Developed
NPL,5046.816,1.9848252990432331,1.0,117.2752062749768,2.0,105.50634305919246,36.40548571428572,71.25385596199018,7.4280705735244315,3.0,Resilient Low-Income
NRU,12468.762,5.685284987338277,1.0,128.99584277271134,1.0,110.63591424056452,,67.83344456105466,4.327500060285841,,
NZL,49316.4,-0.22868143038728417,4.0,98.745567772609,1.0,104.53092247170324,63.36701428571428,52.29764521245017,2.4340344802603866,2.0,Struggling Developed
OMN,36721.082,2.8684597005692396,1.0,101.7011248148327,1.0,98.6974695518459,59.35254285714286,52.40466871525333,1.7930321937792553,0.0,Resilient Emerging
OWID_EU27,54337.918,-0.7499082626050118,6.0,99.8504594526832,1.0,104.27189930928436,51.06029208571428,,,2.0,Struggling Developed
OWID_HIC,58334.816,-0.47807314589085315,3.0,100.71732678100018,1.0,105.35985987237004,56.426216985714284,,,2.0,Struggling Developed
OWID_KOS,15716.293,3.662535122618767,,,1.0,120.94496589893188,,,,,
OWID_LIC,2252.951,-0.6027887546600275,1.0,106.75298144318704,,92.2282042739674,62.167126357142855,,,,
